Date,Open_Eth,High_Eth,Low_Eth,Close_Eth,Adj Close_Eth,Volume_Eth,Open_sp,High_sp,Low_sp,Close_sp,Adj Close_sp,Volume_SP
2015-08-07,2.83162,3.53661,2.5211200000000002,2.77212,2.77212,164329.0,10779.5,10785.34961,10728.48047,10763.15039,10763.15039,3602320000.0
2015-08-10,0.713989,0.729854,0.6365460000000001,0.708448,0.708448,405283.0,10804.80957,10906.08008,10804.80957,10906.04981,10906.04981,3514460000.0
2015-08-11,0.708087,1.13141,0.663235,1.06786,1.06786,1463100.0,10857.08984,10857.08984,10757.17969,10802.08984,10802.08984,3708880000.0
2015-08-12,1.05875,1.2899399999999999,0.883608,1.2174399999999999,1.2174399999999999,2150620.0,10725.87988,10789.66016,10628.94043,10779.45996,10779.45996,4269130000.0
2015-08-13,1.22224,1.96507,1.1719899999999999,1.8276700000000001,1.8276700000000001,4068680.0,10779.44043,10780.05957,10722.87988,10745.30957,10745.30957,3221300000.0
2015-08-14,1.81092,2.26188,1.75475,1.82787,1.82787,4637030.0,10736.34961,10784.33008,10730.50977,10782.24023,10782.24023,2795590000.0
2015-08-17,1.5811899999999999,1.5811899999999999,1.18534,1.20361,1.20361,1942830.0,10743.57031,10819.21973,10708.33984,10818.57031,10818.57031,2867690000.0
2015-08-18,1.2153,1.3311600000000001,1.08705,1.08705,1.08705,1485680.0,10799.54004,10819.69043,10780.00977,10792.79981,10792.79981,2949990000.0
2015-08-19,1.16693,1.31799,1.16693,1.25886,1.25886,1486240.0,10742.32031,10761.01953,10638.19043,10687.01953,10687.01953,3512920000.0
2015-08-20,1.25118,1.5333,1.24833,1.46492,1.46492,2843760.0,10618.34961,10620.75977,10475.74023,10475.75,10475.75,3922470000.0
2015-08-21,1.4775200000000002,1.5564200000000001,1.3528,1.39529,1.39529,2020970.0,10402.29981,10426.04004,10195.69043,10195.69043,10195.69043,5018240000.0
2015-08-24,1.34559,1.3627799999999999,1.23127,1.23127,1.23127,924920.0,9864.299805,10068.91992,9509.589844,9789.94043,9789.94043,6612690000.0
2015-08-25,1.22861,1.2418200000000001,1.12865,1.14019,1.14019,1307180.0,9790.099609,10063.13965,9689.650391,9692.389648,9692.389648,5183560000.0
2015-08-26,1.13279,1.20248,1.0618299999999998,1.15998,1.15998,1056750.0,9692.400391,9986.480469,9692.400391,9979.669922,9979.669922,5338250000.0
2015-08-27,1.16981,1.1888299999999998,1.13729,1.1477,1.1477,686662.0,10044.36035,10248.37988,10044.36035,10230.50977,10230.50977,5006390000.0
2015-08-28,1.1476600000000001,1.20779,1.1205,1.1913799999999999,1.1913799999999999,721872.0,10199.16016,10256.83984,10180.24023,10242.05957,10242.05957,3949080000.0
2015-08-31,1.32138,1.39615,1.2010100000000001,1.35824,1.35824,1447180.0,10198.32031,10226.16992,10120.48047,10176.5,10176.5,3915100000.0
2015-09-01,1.35348,1.3927399999999999,1.33663,1.35161,1.35161,778862.0,10176.5,10176.5,9821.370117,9874.669922,9874.669922,4371850000.0
2015-09-02,1.3515700000000002,1.35491,1.26462,1.2947899999999999,1.2947899999999999,883769.0,9963.139648,10013.36035,9884.150391,10013.36035,10013.36035,3742620000.0
2015-09-03,1.29519,1.30999,1.2110299999999998,1.2649299999999999,1.2649299999999999,702991.0,10044.34961,10150.83008,10018.00977,10049.29004,10049.29004,3520700000.0
2015-09-04,1.2649299999999999,1.3025200000000001,1.23681,1.27441,1.27441,474391.0,9955.370117,9955.370117,9825.200195,9871.860352,9871.860352,3167090000.0
2015-09-08,1.24665,1.2823799999999999,1.23061,1.24243,1.24243,427892.0,9974.780273,10113.25977,9974.780273,10109.67969,10109.67969,3548650000.0
2015-09-09,1.23935,1.2604799999999998,1.20184,1.20651,1.20651,366748.0,10193.04004,10219.55957,9972.80957,9988.910156,9988.910156,3652120000.0
2015-09-10,1.20761,1.22157,1.13615,1.16577,1.16577,662782.0,9985.030273,10078.33984,9957.349609,10019.38965,10019.38965,3626320000.0
2015-09-11,1.16497,1.16907,0.940675,0.982978,0.982978,1942600.0,9987.480469,10040.26953,9942.950195,10040.21973,10040.21973,3218590000.0
2015-09-14,0.940566,0.9493870000000001,0.8717600000000001,0.8756219999999999,0.8756219999999999,741085.0,10026.54981,10026.54981,9964.519531,9988.589844,9988.589844,3000200000.0
2015-09-15,0.875189,1.04554,0.875189,0.9444100000000001,0.9444100000000001,703390.0,10008.62988,10123.28027,9996.830078,10105.87012,10105.87012,3239860000.0
2015-09-16,0.9419770000000001,0.9526979999999999,0.901639,0.907175,0.907175,615593.0,10139.08984,10244.69043,10138.29004,10236.71973,10236.71973,3630680000.0
2015-09-17,0.9068649999999999,0.9092040000000001,0.831132,0.874231,0.874231,897940.0,10217.04981,10362.25977,10200.62012,10215.54004,10215.54004,4183790000.0
2015-09-18,0.874574,0.8881020000000001,0.833908,0.853685,0.853685,484622.0,10118.21973,10130.90039,10009.30957,10031.59961,10031.59961,6021240000.0
2015-09-21,0.9414959999999999,0.957326,0.878301,0.919047,0.919047,424039.0,10049.36035,10132.05957,10026.13965,10066.07031,10066.07031,3269350000.0
2015-09-22,0.9193370000000001,0.9193370000000001,0.865225,0.9017959999999999,0.9017959999999999,487914.0,9970.259766,9970.259766,9855.69043,9912.599609,9912.599609,3808260000.0
2015-09-23,0.90356,0.90891,0.885136,0.8934059999999999,0.8934059999999999,200541.0,9923.730469,9941.469727,9847.089844,9867.900391,9867.900391,3190530000.0
2015-09-24,0.8967959999999999,0.9085709999999999,0.79346,0.81361,0.81361,842505.0,9813.160156,9859.879883,9727.0,9837.80957,9837.80957,4091530000.0
2015-09-25,0.820031,0.825665,0.712745,0.736223,0.736223,903457.0,9913.629883,9948.769531,9814.570313,9857.259766,9857.259766,3721870000.0
2015-09-28,0.723715,0.725677,0.557062,0.582886,0.582886,1320890.0,9803.400391,9803.400391,9590.450195,9601.419922,9601.419922,4326660000.0
2015-09-29,0.579414,0.67583,0.558346,0.661146,0.661146,913992.0,9612.629883,9670.299805,9565.240234,9622.070313,9622.070313,4132390000.0
2015-09-30,0.661192,0.746722,0.635861,0.738644,0.738644,619926.0,9698.929688,9803.639648,9689.19043,9799.69043,9799.69043,4525070000.0
2015-10-01,0.7343069999999999,0.7343069999999999,0.655906,0.6902149999999999,0.6902149999999999,596084.0,9832.330078,9865.049805,9720.849609,9820.950195,9820.950195,3983600000.0
2015-10-02,0.683732,0.69112,0.654605,0.678574,0.678574,219318.0,9755.780273,9973.55957,9697.269531,9973.55957,9973.55957,4378570000.0
2015-10-05,0.666784,0.674438,0.62445,0.6286430000000001,0.6286430000000001,234263.0,10035.86035,10176.98047,10035.86035,10167.92969,10167.92969,4334490000.0
2015-10-06,0.622218,0.653944,0.60623,0.650645,0.650645,262674.0,10167.5,10205.11035,10124.91992,10156.37988,10156.37988,4202400000.0
2015-10-07,0.650515,0.656301,0.6024229999999999,0.609388,0.609388,218327.0,10212.34961,10284.25977,10168.00977,10258.51953,10258.51953,4666470000.0
2015-10-08,0.6095010000000001,0.633138,0.591971,0.6217159999999999,0.6217159999999999,310266.0,10238.12012,10375.11035,10222.07031,10361.04004,10361.04004,3939140000.0
2015-10-09,0.655084,0.692296,0.632116,0.650628,0.650628,386420.0,10376.69043,10400.15039,10331.03027,10361.25977,10361.25977,3706900000.0
2015-10-12,0.6345149999999999,0.6577890000000001,0.62603,0.62603,0.62603,109567.0,10356.33008,10367.7002,10329.00977,10356.49023,10356.49023,2893250000.0
2015-10-13,0.627943,0.6302399999999999,0.599214,0.6076550000000001,0.6076550000000001,303044.0,10298.57031,10360.78027,10254.41992,10262.94043,10262.94043,3401920000.0
2015-10-14,0.61224,0.61224,0.48397399999999996,0.522968,0.522968,971664.0,10267.5,10303.7002,10214.99023,10229.66992,10229.66992,3644590000.0
2015-10-15,0.523278,0.5727140000000001,0.51473,0.561878,0.561878,371022.0,10259.50977,10380.83984,10244.99023,10378.26953,10378.26953,3746290000.0
2015-10-16,0.562593,0.568861,0.522533,0.5364949999999999,0.5364949999999999,249891.0,10407.28027,10424.99023,10365.69043,10421.91016,10421.91016,3595430000.0
2015-10-19,0.517621,0.521546,0.480994,0.48901400000000006,0.48901400000000006,243742.0,10385.45996,10399.26953,10353.00977,10391.59961,10391.59961,3287320000.0
2015-10-20,0.489629,0.501898,0.431648,0.434829,0.434829,383921.0,10377.24023,10427.33984,10361.41016,10383.41992,10383.41992,3331500000.0
2015-10-21,0.43158900000000006,0.48298800000000003,0.420897,0.447329,0.447329,609085.0,10403.74023,10410.99023,10299.04981,10306.44043,10306.44043,3627790000.0
2015-10-22,0.444988,0.619466,0.420991,0.567702,0.567702,924822.0,10342.75,10467.11035,10342.75,10448.83008,10448.83008,4430850000.0
2015-10-23,0.5663699999999999,0.611743,0.5042840000000001,0.5396569999999999,0.5396569999999999,878822.0,10486.94043,10519.83008,10450.44043,10506.50977,10506.50977,4108460000.0
2015-10-26,0.619743,0.757517,0.5970979999999999,0.731317,0.731317,1089120.0,10495.91016,10495.91016,10458.05957,10464.62012,10464.62012,3385800000.0
2015-10-27,0.7088899999999999,0.898172,0.7088899999999999,0.869641,0.869641,1846370.0,10420.75,10427.75,10364.91992,10400.17969,10400.17969,4216880000.0
2015-10-28,0.8709379999999999,1.05579,0.8078569999999999,1.00248,1.00248,2373050.0,10428.03027,10538.21973,10409.45996,10538.2002,10538.2002,4698110000.0
2015-10-29,1.00525,1.20666,0.9473739999999999,1.20666,1.20666,2279240.0,10504.34961,10514.44043,10466.20996,10498.16016,10498.16016,4008940000.0
2015-10-30,1.2092,1.34505,0.96816,1.04122,1.04122,2429200.0,10509.15039,10531.42969,10460.83008,10460.95996,10460.95996,4256200000.0
2015-11-02,1.05797,1.09979,0.9536469999999999,0.9897889999999999,0.9897889999999999,1145200.0,10474.58008,10591.25,10473.83984,10579.87012,10579.87012,3760020000.0
2015-11-03,0.994568,1.07044,0.936615,1.01336,1.01336,1907690.0,10556.36035,10641.62012,10542.20996,10609.91992,10609.91992,4272060000.0
2015-11-04,1.01065,1.03872,0.725665,0.89905,0.89905,3060340.0,10629.58984,10638.69043,10536.48047,10563.95996,10563.95996,4078870000.0
2015-11-05,0.900699,0.991259,0.860382,0.8956370000000001,0.8956370000000001,1179840.0,10563.92969,10588.12988,10501.30957,10548.36035,10548.36035,4051890000.0
2015-11-06,0.9047719999999999,0.989848,0.852929,0.926032,0.926032,913666.0,10525.65039,10531.11035,10441.83984,10513.36035,10513.36035,4369020000.0
2015-11-09,1.03253,1.1064200000000002,0.945263,0.9992780000000001,0.9992780000000001,2045290.0,10486.71973,10488.2002,10381.41016,10415.19043,10415.19043,3882350000.0
2015-11-10,1.00126,1.05304,0.920968,0.934348,0.934348,854581.0,10389.17969,10440.23047,10370.66992,10432.34961,10432.34961,3821440000.0
2015-11-11,0.9412959999999999,0.9452780000000001,0.729775,0.791829,0.791829,1278580.0,10454.15039,10460.34961,10396.79004,10399.90039,10399.90039,3692410000.0
2015-11-12,0.796455,0.913919,0.76351,0.895711,0.895711,806156.0,10335.0,10342.87012,10235.2002,10235.9502,10235.9502,4016370000.0
2015-11-13,0.9077219999999999,0.917309,0.846023,0.9040959999999999,0.9040959999999999,543671.0,10206.54004,10228.88965,10145.65039,10155.07031,10155.07031,4278750000.0
2015-11-16,0.906166,0.944732,0.891971,0.9289620000000001,0.9289620000000001,620945.0,10143.37988,10299.45996,10141.54981,10299.40039,10299.40039,3741240000.0
2015-11-17,0.924948,1.03295,0.9057940000000001,1.0079799999999999,1.0079799999999999,1145440.0,10320.05957,10368.37988,10266.55957,10285.75977,10285.75977,4427350000.0
2015-11-18,0.9932139999999999,1.01157,0.940516,0.9933190000000001,0.9933190000000001,681104.0,10285.37012,10436.0,10285.37012,10429.59961,10429.59961,3926390000.0
2015-11-19,0.988713,1.00797,0.9374979999999999,0.9555319999999999,0.9555319999999999,443528.0,10426.12988,10455.19043,10416.37012,10431.45996,10431.45996,3628110000.0
2015-11-20,0.955735,0.955735,0.898576,0.9249200000000001,0.9249200000000001,614335.0,10460.25,10499.04981,10430.05957,10444.2002,10444.2002,3929600000.0
2015-11-23,0.967493,0.969057,0.9338700000000001,0.9469690000000001,0.9469690000000001,441875.0,10433.62988,10469.62012,10402.45996,10421.41016,10421.41016,3587980000.0
